0 1 2
0 1 3
0 1 6
0 1 8
0 1 9
0 1 11
0 1 13
0 1 20
0 1 22
0 1 29
0 1 34
0 1 35
0 1 50
0 1 71
0 1 77
0 1 91
0 1 109
0 1 116
0 1 120
0 1 128
0 1 131
0 1 135
0 1 136
0 1 137
0 1 139
0 1 147
0 1 150
0 1 158
0 1 161
0 1 163
0 1 166
0 1 171
0 1 181
0 1 185
0 1 186
0 1 187
0 1 193
0 1 195
0 1 206
0 1 210
0 1 211
0 1 216
0 1 222
0 1 224
0 1 228
0 1 237
0 1 238
0 1 254
0 1 259
0 1 261
0 1 262
0 1 267
0 1 269
0 1 275
0 1 277
0 1 282
0 1 287
0 1 291
0 1 298
0 1 302
0 1 307
0 1 308
0 1 311
0 1 313
0 1 318
0 1 319
0 1 322
0 1 331
0 1 332
0 1 345
0 1 349
0 1 350
0 1 361
0 1 365
0 1 368
0 1 376
0 1 383
0 1 389
0 1 390
0 1 393
0 1 400
0 1 412
0 1 413
0 1 415
0 1 427
0 1 439
0 1 440
0 1 442
0 1 446
0 1 447
0 1 449
0 1 452
0 1 462
0 1 467
0 1 468
0 1 472
0 1 481
0 1 484
0 1 486
0 1 489
0 1 500
0 1 503
0 1 508
0 1 510
0 1 518
0 1 521
0 1 531
0 1 532
0 1 538
0 1 542
0 1 548
0 1 549
0 1 550
0 1 555
0 1 558
0 1 564
0 1 569
0 1 576
0 1 577
0 1 600
0 1 601
0 1 605
0 1 608
0 1 622
0 1 625
0 1 628
0 1 632
0 1 641
0 1 652
0 1 654
0 1 658
0 1 659
0 1 661
0 1 669
0 1 672
0 1 674
0 1 680
0 1 684
0 1 687
0 1 689
0 1 690
0 1 691
0 1 695
0 1 696
0 1 709
0 1 710
0 1 716
0 1 726
0 1 729
0 1 733
0 1 735
0 1 736
0 1 737
0 1 752
0 1 760
0 1 761
0 1 762
0 1 772
0 1 785
0 1 787
0 1 796
0 1 798
0 1 819
0 1 821
0 1 822
0 1 823
0 1 825
0 1 826
0 1 830
0 1 831
0 1 833
0 1 840
0 1 843
0 1 849
0 1 851
0 1 857
0 1 858
0 1 867
0 1 874
0 1 875
0 1 890
0 1 892
0 1 894
0 1 897
0 1 902
0 1 911
0 1 913
0 1 922
0 1 924
0 1 935
0 1 942
0 1 945
0 1 946
0 1 949
0 1 966
0 1 971
0 1 972
0 1 994
0 1 999
0 1 1000
0 1 1004
0 1 1007
0 1 1022
0 1 1026
0 1 1028
0 1 1035
0 1 1036
0 1 1037
0 1 1039
0 1 1041
0 1 1042
0 1 1044
0 1 1049
0 1 1052
0 1 1053
0 1 1057
0 1 1061
0 1 1065
0 1 1069
0 1 1075
0 1 1078
0 1 1080
0 1 1095
0 1 1099
0 1 1101
0 1 1102
0 1 1104
0 1 1106
0 1 1107
0 1 1112
0 1 1113
0 1 1120
0 1 1123
0 1 1124
0 1 1133
0 1 1139
0 1 1140
0 1 1141
0 1 1142
0 1 1152
0 1 1154
0 1 1165
0 1 1185
0 1 1198
0 1 1202
0 1 1214
0 1 1216
0 1 1217
0 1 1221
0 1 1222
0 1 1224
0 1 1233
0 1 1236
0 1 1239
0 1 1240
0 1 1246
0 1 1251
0 1 1254
0 1 1257
0 1 1258
0 1 1260
0 1 1264
0 1 1266
0 1 1279
0 1 1296
0 1 1304
0 1 1316
0 1 1324
0 1 1325
0 1 1328
0 1 1334
0 1 1345
0 1 1347
0 1 1354
0 1 1359
0 1 1365
0 1 1366
0 1 1369
0 1 1374
0 1 1375
0 1 1376
0 1 1379
0 1 1381
0 1 1385
0 1 1392
0 1 1407
0 1 1412
0 1 1414
0 1 1415
0 1 1417
0 1 1432
0 1 1435
0 1 1442
0 1 1444
0 1 1473
0 1 1476
0 1 1479
0 1 1481
0 1 1484
0 1 1492
0 1 1493
0 1 1496
0 1 1503
0 1 1507
0 1 1508
0 1 1514
0 1 1515
0 1 1518
0 1 1522
0 1 1524
0 1 1527
0 1 1528
0 1 1529
0 1 1530
0 1 1534
0 1 1536
0 1 1544
0 1 1551
0 1 1562
0 1 1565
0 1 1567
0 1 1570
0 1 1572
0 1 1597
0 1 1604
0 1 1607
0 1 1612
0 1 1613
0 1 1620
0 1 1623
0 1 1627
0 1 1628
0 1 1635
0 1 1639
0 1 1643
0 1 1658
0 1 1661
0 1 1670
0 1 1675
0 1 1690
0 1 1691
0 1 1695
0 1 1700
0 1 1701
0 1 1705
0 1 1708
0 1 1716
0 1 1721
0 1 1725
0 1 1730
0 1 1744
0 1 1745
0 1 1748
0 1 1755
0 1 1759
0 1 1760
0 1 1761
0 1 1762
0 1 1764
0 1 1766
0 1 1778
0 1 1783
0 1 1785
0 1 1798
0 1 1803
0 1 1811
0 1 1812
0 1 1816
0 1 1818
0 1 1824
0 1 1826
0 1 1827
0 1 1830
0 1 1833
0 1 1835
0 1 1837
0 1 1839
0 1 1846
0 1 1857
0 1 1863
0 1 1873
0 1 1876
0 1 1880
0 1 1881
0 1 1887
0 1 1892
0 1 1894
0 1 1902
0 1 1903
0 1 1907
0 1 1910
0 1 1917
0 1 1921
0 1 1930
0 1 1935
0 1 1937
0 1 1944
0 1 1948
0 1 1952
0 1 1967
0 1 1968
0 1 1969
0 1 1971
0 1 1977
0 1 1979
0 1 1997
0 1 2009
0 1 2011
0 1 2021
0 1 2022
0 1 2026
0 1 2039
0 1 2040
0 1 2045
0 1 2046
0 1 2047
0 1 2054
0 1 2059
0 1 2064
0 1 2093
0 1 2099
0 1 2100
0 1 2104
0 1 2105
0 1 2108
0 1 2116
0 1 2119
0 1 2134
0 1 2145
0 1 2147
0 1 2149
0 1 2157
0 1 2159
0 1 2172
0 1 2185
0 1 2196
0 1 2202
0 1 2204
0 1 2207
0 1 2208
0 1 2217
0 1 2225
0 1 2229
0 1 2245
0 1 2246
0 1 2249
0 1 2251
0 1 2252
0 1 2257
0 1 2259
0 1 2267
0 1 2269
0 1 2274
0 1 2275
0 1 2285
0 1 2287
0 1 2288
0 1 2290
0 1 2291
0 1 2292
0 1 2295
0 1 2297
0 1 2300
0 1 2301
0 1 2312
0 1 2318
0 1 2320
0 1 2326
0 1 2329
0 1 2332
0 1 2339
0 1 2340
0 1 2343
0 1 2349
0 1 2354
0 1 2363
0 1 2366
0 1 2375
0 1 2382
0 1 2388
0 1 2389
0 1 2393
0 1 2402
0 1 2404
0 1 2408
0 1 2413
0 1 2414
0 1 2415
0 1 2418
0 1 2421
0 1 2423
0 1 2425
0 1 2429
0 1 2433
0 1 2436
0 1 2439
0 1 2446
0 1 2448
0 1 2451
0 1 2452
0 1 2453
0 1 2454
0 1 2459
0 1 2472
0 1 2477
0 1 2479
0 1 2480
0 1 2481
0 1 2482
0 1 2483
0 1 2491
0 1 2494
0 1 2506
0 1 2514
0 1 2528
0 1 2530
